INPUT_TABLE,,,,,
Variable ID,,,,,
StubTechElecMarket,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,electric.sector.market
HI,electricity,offshore wind,offshore wind usa,2055,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2060,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2065,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2070,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2075,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2080,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2085,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2090,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2095,Hawaii grid
HI,electricity,offshore wind,offshore wind usa,2100,Hawaii grid
IL,electricity,offshore wind,offshore wind usa,1975,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,1990,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2005,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2010,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2015,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2020,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2025,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2030,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2035,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2040,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2045,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2050,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2055,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2060,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2065,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2070,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2075,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2080,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2085,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2090,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2095,Central Northeast grid
IL,electricity,offshore wind,offshore wind usa,2100,Central Northeast grid
IN,electricity,offshore wind,offshore wind usa,1975,Central East grid
IN,electricity,offshore wind,offshore wind usa,1990,Central East grid
IN,electricity,offshore wind,offshore wind usa,2005,Central East grid
IN,electricity,offshore wind,offshore wind usa,2010,Central East grid
IN,electricity,offshore wind,offshore wind usa,2015,Central East grid
IN,electricity,offshore wind,offshore wind usa,2020,Central East grid
IN,electricity,offshore wind,offshore wind usa,2025,Central East grid
IN,electricity,offshore wind,offshore wind usa,2030,Central East grid
IN,electricity,offshore wind,offshore wind usa,2035,Central East grid
IN,electricity,offshore wind,offshore wind usa,2040,Central East grid
IN,electricity,offshore wind,offshore wind usa,2045,Central East grid
IN,electricity,offshore wind,offshore wind usa,2050,Central East grid
IN,electricity,offshore wind,offshore wind usa,2055,Central East grid
IN,electricity,offshore wind,offshore wind usa,2060,Central East grid
IN,electricity,offshore wind,offshore wind usa,2065,Central East grid
IN,electricity,offshore wind,offshore wind usa,2070,Central East grid
IN,electricity,offshore wind,offshore wind usa,2075,Central East grid
IN,electricity,offshore wind,offshore wind usa,2080,Central East grid
IN,electricity,offshore wind,offshore wind usa,2085,Central East grid
IN,electricity,offshore wind,offshore wind usa,2090,Central East grid
IN,electricity,offshore wind,offshore wind usa,2095,Central East grid
IN,electricity,offshore wind,offshore wind usa,2100,Central East grid
LA,electricity,offshore wind,offshore wind usa,1975,Southeast grid
LA,electricity,offshore wind,offshore wind usa,1990,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2005,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2010,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2015,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2020,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2025,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2030,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2035,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2040,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2045,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2050,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2055,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2060,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2065,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2070,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2075,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2080,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2085,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2090,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2095,Southeast grid
LA,electricity,offshore wind,offshore wind usa,2100,Southeast grid
MA,electricity,offshore wind,offshore wind usa,1975,New England grid
MA,electricity,offshore wind,offshore wind usa,1990,New England grid
MA,electricity,offshore wind,offshore wind usa,2005,New England grid
MA,electricity,offshore wind,offshore wind usa,2010,New England grid
MA,electricity,offshore wind,offshore wind usa,2015,New England grid
MA,electricity,offshore wind,offshore wind usa,2020,New England grid
MA,electricity,offshore wind,offshore wind usa,2025,New England grid
MA,electricity,offshore wind,offshore wind usa,2030,New England grid
MA,electricity,offshore wind,offshore wind usa,2035,New England grid
MA,electricity,offshore wind,offshore wind usa,2040,New England grid
MA,electricity,offshore wind,offshore wind usa,2045,New England grid
MA,electricity,offshore wind,offshore wind usa,2050,New England grid
MA,electricity,offshore wind,offshore wind usa,2055,New England grid
MA,electricity,offshore wind,offshore wind usa,2060,New England grid
MA,electricity,offshore wind,offshore wind usa,2065,New England grid
MA,electricity,offshore wind,offshore wind usa,2070,New England grid
MA,electricity,offshore wind,offshore wind usa,2075,New England grid
MA,electricity,offshore wind,offshore wind usa,2080,New England grid
MA,electricity,offshore wind,offshore wind usa,2085,New England grid
MA,electricity,offshore wind,offshore wind usa,2090,New England grid
MA,electricity,offshore wind,offshore wind usa,2095,New England grid
