INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
MA,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,MA
MD,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,MD
MD,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,MD
ME,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,ME
ME,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,ME
MI,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,MI
MI,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,MI
MN,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,MN
MN,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,MN
NC,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,NC
NC,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,NC
NH,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,NH
NH,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,NH
NJ,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,NJ
NJ,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,NJ
NY,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,NY
NY,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,NY
OH,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,OH
OH,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,OH
OR,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,OR
OR,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,OR
PA,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,PA
PA,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,PA
RI,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,RI
RI,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,RI
SC,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,SC
SC,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,SC
TX,electricity,offshore wind,offshore wind usa,2025,offshore wind resource,TX
TX,electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,TX
